date,value,pct_of_retail
10/01/1999,4476.0,0.6
01/01/2000,5691.0,0.8
04/01/2000,6465.0,0.9
07/01/2000,7419.0,1.0
10/01/2000,7840.0,1.0
01/01/2001,8135.0,1.1
04/01/2001,8336.0,1.1
07/01/2001,8335.0,1.1
10/01/2001,9314.0,1.2
01/01/2002,9904.0,1.3
04/01/2002,10742.0,1.4
07/01/2002,11543.0,1.5
10/01/2002,12231.0,1.5
01/01/2003,12738.0,1.6
04/01/2003,13773.0,1.7
07/01/2003,14833.0,1.8
10/01/2003,15588.0,1.9
01/01/2004,16697.0,2.0
04/01/2004,17519.0,2.0
07/01/2004,18506.0,2.1
10/01/2004,19631.0,2.2
01/01/2005,20801.0,2.3
04/01/2005,22233.0,2.4
07/01/2005,23653.0,2.5
10/01/2005,24364.0,2.6
01/01/2006,26417.0,2.7
04/01/2006,27367.0,2.8
07/01/2006,28842.0,3.0
10/01/2006,30138.0,3.1
01/01/2007,31728.0,3.2
04/01/2007,33524.0,3.4
07/01/2007,34841.0,3.5
10/01/2007,35784.0,3.5
01/01/2008,36017.0,3.6
04/01/2008,36544.0,3.6
07/01/2008,36292.0,3.6
10/01/2008,33042.0,3.6
01/01/2009,34132.0,3.8
04/01/2009,35282.0,4.0
07/01/2009,37402.0,4.1
10/01/2009,38084.0,4.1
01/01/2010,39289.0,4.2
04/01/2010,41303.0,4.4
07/01/2010,43472.0,4.6
10/01/2010,45046.0,4.6
01/01/2011,46936.0,4.7
04/01/2011,48680.0,4.8
07/01/2011,49994.0,4.9
10/01/2011,52946.0,5.1
01/01/2012,54788.0,5.1
04/01/2012,56009.0,5.3
07/01/2012,58103.0,5.4
10/01/2012,60395.0,5.5
01/01/2013,61985.0,5.6
04/01/2013,63866.0,5.8
07/01/2013,65744.0,5.9
10/01/2013,68222.0,6.1
01/01/2014,70425.0,6.2
04/01/2014,73381.0,6.3
07/01/2014,75807.0,6.5
10/01/2014,77793.0,6.6
01/01/2015,80500.0,6.9
04/01/2015,83314.0,7.1
07/01/2015,86335.0,7.2
10/01/2015,88913.0,7.5
01/01/2016,92145.0,7.8
04/01/2016,95644.0,7.9
07/01/2016,98858.0,8.1
10/01/2016,101402.0,8.2
01/01/2017,105387.0,8.4
04/01/2017,110505.0,8.8
07/01/2017,114333.0,9.0
10/01/2017,118216.0,9.1
01/01/2018,122526.0,9.4
04/01/2018,126985.0,9.6
07/01/2018,130946.0,9.8
