per_idx,per_name
1,Jan-92
2,Feb-92
3,Mar-92
4,Apr-92
5,May-92
6,Jun-92
7,Jul-92
8,Aug-92
9,Sep-92
10,Oct-92
11,Nov-92
12,Dec-92
13,Jan-93
14,Feb-93
15,Mar-93
16,Apr-93
17,May-93
18,Jun-93
19,Jul-93
20,Aug-93
21,Sep-93
22,Oct-93
23,Nov-93
24,Dec-93
25,Jan-94
26,Feb-94
27,Mar-94
28,Apr-94
29,May-94
30,Jun-94
31,Jul-94
32,Aug-94
33,Sep-94
34,Oct-94
35,Nov-94
36,Dec-94
37,Jan-95
38,Feb-95
39,Mar-95
40,Apr-95
41,May-95
42,Jun-95
43,Jul-95
44,Aug-95
45,Sep-95
46,Oct-95
47,Nov-95
48,Dec-95
49,Jan-96
50,Feb-96
51,Mar-96
52,Apr-96
53,May-96
54,Jun-96
55,Jul-96
56,Aug-96
57,Sep-96
58,Oct-96
59,Nov-96
60,Dec-96
61,Jan-97
62,Feb-97
63,Mar-97
64,Apr-97
65,May-97
66,Jun-97
67,Jul-97
68,Aug-97
69,Sep-97
70,Oct-97
71,Nov-97
72,Dec-97
73,Jan-98
74,Feb-98
75,Mar-98
76,Apr-98
77,May-98
78,Jun-98
79,Jul-98
80,Aug-98
81,Sep-98
82,Oct-98
83,Nov-98
84,Dec-98
85,Jan-99
86,Feb-99
87,Mar-99
88,Apr-99
89,May-99
90,Jun-99
91,Jul-99
92,Aug-99
93,Sep-99
94,Oct-99
95,Nov-99
96,Dec-99
97,Jan-00
98,Feb-00
99,Mar-00
100,Apr-00
101,May-00
102,Jun-00
103,Jul-00
104,Aug-00
105,Sep-00
106,Oct-00
107,Nov-00
108,Dec-00
109,1-Jan
110,1-Feb
111,1-Mar
112,1-Apr
113,1-May
114,1-Jun
115,1-Jul
116,1-Aug
117,1-Sep
118,1-Oct
119,1-Nov
120,1-Dec
121,2-Jan
122,2-Feb
123,2-Mar
124,2-Apr
125,2-May
126,2-Jun
127,2-Jul
128,2-Aug
129,2-Sep
130,2-Oct
131,2-Nov
132,2-Dec
133,3-Jan
134,3-Feb
135,3-Mar
136,3-Apr
137,3-May
138,3-Jun
139,3-Jul
140,3-Aug
141,3-Sep
142,3-Oct
143,3-Nov
144,3-Dec
145,4-Jan
146,4-Feb
147,4-Mar
148,4-Apr
149,4-May
150,4-Jun
151,4-Jul
152,4-Aug
153,4-Sep
154,4-Oct
155,4-Nov
156,4-Dec
157,5-Jan
158,5-Feb
159,5-Mar
160,5-Apr
161,5-May
162,5-Jun
163,5-Jul
164,5-Aug
165,5-Sep
166,5-Oct
167,5-Nov
168,5-Dec
169,6-Jan
170,6-Feb
171,6-Mar
172,6-Apr
173,6-May
174,6-Jun
175,6-Jul
176,6-Aug
177,6-Sep
178,6-Oct
179,6-Nov
180,6-Dec
181,7-Jan
182,7-Feb
183,7-Mar
184,7-Apr
185,7-May
186,7-Jun
187,7-Jul
188,7-Aug
189,7-Sep
190,7-Oct
191,7-Nov
192,7-Dec
193,8-Jan
194,8-Feb
195,8-Mar
196,8-Apr
197,8-May
198,8-Jun
199,8-Jul
200,8-Aug
201,8-Sep
202,8-Oct
203,8-Nov
204,8-Dec
205,9-Jan
206,9-Feb
207,9-Mar
208,9-Apr
209,9-May
210,9-Jun
211,9-Jul
212,9-Aug
213,9-Sep
214,9-Oct
215,9-Nov
216,9-Dec
217,10-Jan
218,10-Feb
219,10-Mar
220,10-Apr
221,10-May
222,10-Jun
223,10-Jul
224,10-Aug
225,10-Sep
226,10-Oct
227,10-Nov
228,10-Dec
229,11-Jan
230,11-Feb
231,11-Mar
232,11-Apr
233,11-May
234,11-Jun
235,11-Jul
236,11-Aug
237,11-Sep
238,11-Oct
239,11-Nov
240,11-Dec
241,12-Jan
242,12-Feb
243,12-Mar
244,12-Apr
245,12-May
246,12-Jun
247,12-Jul
248,12-Aug
249,12-Sep
250,12-Oct
251,12-Nov
252,12-Dec
253,13-Jan
254,13-Feb
255,13-Mar
256,13-Apr
257,13-May
258,13-Jun
259,13-Jul
260,13-Aug
261,13-Sep
262,13-Oct
263,13-Nov
264,13-Dec
265,14-Jan
266,14-Feb
267,14-Mar
268,14-Apr
269,14-May
270,14-Jun
271,14-Jul
272,14-Aug
273,14-Sep
274,14-Oct
275,14-Nov
276,14-Dec
277,15-Jan
278,15-Feb
279,15-Mar
280,15-Apr
281,15-May
282,15-Jun
283,15-Jul
284,15-Aug
285,15-Sep
286,15-Oct
287,15-Nov
288,15-Dec
289,16-Jan
290,16-Feb
291,16-Mar
292,16-Apr
293,16-May
294,16-Jun
295,16-Jul
296,16-Aug
297,16-Sep
298,16-Oct
299,16-Nov
300,16-Dec
301,17-Jan
302,17-Feb
303,17-Mar
304,17-Apr
305,17-May
306,17-Jun
307,17-Jul
308,17-Aug
309,17-Sep
310,17-Oct
311,17-Nov
312,17-Dec
313,18-Jan
314,18-Feb
315,18-Mar
316,18-Apr
317,18-May
318,18-Jun
319,18-Jul
320,18-Aug
321,18-Sep
322,18-Oct
